order,assetId,displayName,family,wave,priority,renderProfile,generationLane,footprint,animationProfile,eraProfile,variantProfile,status,cleanupTier,tags,visualBrief
110,envoy_mercantile,Mercantile Envoy,character,world_ui,p2,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",well-appointed commercial envoy with scroll case and rich travel wear
111,envoy_spiritual,Spiritual Envoy,character,world_ui,p2,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",pious embassy representative with sacred gifts and measured reverence
112,envoy_imperial,Imperial Envoy,character,late_game,p2,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",high-status late-game envoy with formal regalia and intimidating retinue presence
113,rationalist_philosopher,Rationalist Philosopher,character,world_ui,p2,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",sharp-featured public thinker in austere robes arguing against supernatural claims
114,moralist_philosopher,Moralist Philosopher,character,world_ui,p2,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",earnest critic condemning corruption and political compromise
115,rival_theologian,Rival Theologian,character,world_ui,p2,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",competing sacred authority in ornate but antagonistic priestly dress
116,political_agitator,Political Agitator,character,world_ui,p2,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",fiery public speaker with faction colors and manipulative charisma
117,corrupt_priest,Corrupt Priest,character,world_ui,p2,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",insider priest whose public piety masks subtle greed and compromise
118,rival_oracle_master,Rival Oracle Master,character,late_game,p2,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",charismatic leader of a competing oracle with dangerous prestige
119,saboteur,Saboteur Agent,character,late_game,p2,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",covert operative in travel cloak carrying hidden tools and false papers
120,hierophant_portrait,Hierophant Portrait,portrait,core_slice,p1,portrait_bust,imagegen+pixel,portrait,expressions_3,,"neutral,concerned,pleased",planned,manual_cleanup_required,"portrait,ui,oracle","grave Hellenic hierophant with laurel fillet, sacred staff, ritual authority, and no Christian regalia"
121,treasurer_portrait,Treasurer Portrait,portrait,core_slice,p1,portrait_bust,imagegen+pixel,portrait,expressions_3,,"neutral,concerned,pleased",planned,manual_cleanup_required,"portrait,ui,oracle","anxious brilliant Greek treasurer with scrolls, tablets, abacus-like counting tools, and restrained wealth"
122,builder_portrait,Master Builder Portrait,portrait,core_slice,p1,portrait_bust,imagegen+pixel,portrait,expressions_3,,"neutral,concerned,pleased",planned,manual_cleanup_required,"portrait,ui,oracle","gruff veteran Greek master builder with stone dust, measured confidence, and practical craft attire"
123,diplomat_portrait,Diplomat Portrait,portrait,core_slice,p1,portrait_bust,imagegen+pixel,portrait,expressions_3,,"neutral,concerned,pleased",planned,manual_cleanup_required,"portrait,ui,oracle",smooth worldly Greek diplomat in refined but restrained classical dress with intelligent watchfulness
124,shadow_portrait,Shadow Portrait,portrait,core_slice,p1,portrait_bust,imagegen+pixel,portrait,expressions_3,,"neutral,concerned,pleased",planned,manual_cleanup_required,"portrait,ui,oracle",quiet intelligence chief in discreet Hellenic attire emerging from soft shadow with sharp observant eyes
125,croesus_portrait,Croesus Portrait,portrait,late_game,p2,portrait_bust,imagegen+pixel,portrait,expressions_3,,"neutral,concerned,pleased",planned,manual_cleanup_required,"portrait,ui,oracle",wealthy king portrait with opulent Lydian richness and calculating expression
126,alexander_portrait,Alexander Portrait,portrait,late_game,p2,portrait_bust,imagegen+pixel,portrait,expressions_3,,"neutral,concerned,pleased",planned,manual_cleanup_required,"portrait,ui,oracle","young conqueror portrait with ambition, charisma, and imperial tension"
127,roman_envoy_portrait,Roman Envoy Portrait,portrait,late_game,p2,portrait_bust,imagegen+pixel,portrait,expressions_3,,"neutral,concerned,pleased",planned,manual_cleanup_required,"portrait,ui,oracle",stern late-era Roman diplomat portrait with pragmatic authority
128,faction_banner_pack,Faction Banner Pack,ui,world_ui,p1,ui_pack,imagegen+pixel,ui_pack,static,,12 faction variants,planned,manual_cleanup_required,"ui,oracle,iconography",banner set for city-states and patrons with faction motifs and heraldic sacred styling
129,city_state_marker_pack,City-State Marker Pack,ui,world_ui,p1,ui_pack,imagegen+pixel,ui_pack,static,,"city,capital,ally,hostile",planned,manual_cleanup_required,"ui,oracle,iconography","map markers for city-states, capitals, minor allies, and patron sites"
130,trade_route_marker_pack,Trade Route Marker Pack,ui,world_ui,p2,ui_pack,imagegen+pixel,ui_pack,static,,"land,sea,embargo,bonus",planned,manual_cleanup_required,"ui,oracle,iconography","map overlays for trade caravans, sea trade, blockades, and embargoes"
131,war_front_marker_pack,War Front Marker Pack,ui,world_ui,p2,ui_pack,imagegen+pixel,ui_pack,static,,"raid,siege,battle,muster",planned,manual_cleanup_required,"ui,oracle,iconography","military conflict overlays for raids, sieges, pitched battles, and musters"
132,philosopher_threat_pack,Philosopher Threat Pack,ui,world_ui,p2,ui_pack,imagegen+pixel,ui_pack,static,,"rationalist,moralist,theologian,agitator",planned,manual_cleanup_required,"ui,oracle,iconography",icons and callouts for philosopher threat types and public debates
133,rival_oracle_marker_pack,Rival Oracle Marker Pack,ui,world_ui,p2,ui_pack,imagegen+pixel,ui_pack,static,,"site,rumor,sabotage,duel",planned,manual_cleanup_required,"ui,oracle,iconography","world and precinct markers for rival sites, rumors, and sabotage alerts"
134,treasury_dedication_pack,Treasury Dedication Pack,ui,world_ui,p2,ui_pack,imagegen+pixel,ui_pack,static,,"gift,treasury,monument,seal",planned,manual_cleanup_required,"ui,oracle,iconography",icons and seals for city-state treasury dedications and patron gifts
135,age_emblem_pack,Age Emblem Pack,ui,late_game,p2,ui_pack,imagegen+pixel,ui_pack,static,,5 age variants,planned,manual_cleanup_required,"ui,oracle,iconography","decorative emblems for Archaic, Classical, Hellenic, Hellenistic, and Roman Shadow eras"
136,origin_emblem_pack,Origin Emblem Pack,ui,late_game,p2,ui_pack,imagegen+pixel,ui_pack,static,,7 origin variants,planned,manual_cleanup_required,"ui,oracle,iconography","origin emblems for Ancient Spring, Upstart Shrine, Cursed Oracle, War Oracle, God's Favourite, Merchant Oracle, and Exile's Oracle"
137,omen_icon_pack,Omen Icon Pack,ui,core_slice,p1,ui_pack,imagegen+pixel,ui_pack,static,,7 omen variants,planned,manual_cleanup_required,"ui,oracle,iconography","omen icon family covering ornithomancy, pyromancy, hydromancy, extispicy, oneiromancy, astromancy, and chresmology"
138,consultation_ornament_pack,Consultation Ornament Pack,ui,core_slice,p1,ui_pack,imagegen+pixel,ui_pack,static,,"frame,seal,divider,header",planned,manual_cleanup_required,"ui,oracle,iconography","laurel wreaths, incense borders, carved stone headers, and sacred seals for consultation UI"
